Total Nacional;Comunidades y Ciudades Autónomas;Ámbito de estudio;Tasas de actividad, empleo y paro;Total
Total nacional;Balears, Illes;Medicina;Tasa de actividad;0,0
Total nacional;Balears, Illes;Medicina;Tasa de empleo;0,0
Total nacional;Balears, Illes;Medicina;Tasa de paro;0,0
Total nacional;Balears, Illes;Enfermería;Tasa de actividad;91,3
Total nacional;Balears, Illes;Enfermería;Tasa de empleo;91,3
Total nacional;Balears, Illes;Enfermería;Tasa de paro;0,0
Total nacional;Balears, Illes;Salud (Otros estudios);Tasa de actividad;100,0
Total nacional;Balears, Illes;Salud (Otros estudios);Tasa de empleo;100,0
Total nacional;Balears, Illes;Salud (Otros estudios);Tasa de paro;0,0
Total nacional;Balears, Illes;Servicios sociales;Tasa de actividad;93,1
Total nacional;Balears, Illes;Servicios sociales;Tasa de empleo;89,7
Total nacional;Balears, Illes;Servicios sociales;Tasa de paro;3,7
Total nacional;Balears, Illes;10 - SERVICIOS;Tasa de actividad;97,0
Total nacional;Balears, Illes;10 - SERVICIOS;Tasa de empleo;97,0
Total nacional;Balears, Illes;10 - SERVICIOS;Tasa de paro;0,0
Total nacional;Balears, Illes;Actividades físicas y deportivas;Tasa de actividad;0,0
Total nacional;Balears, Illes;Actividades físicas y deportivas;Tasa de empleo;0,0
Total nacional;Balears, Illes;Actividades físicas y deportivas;Tasa de paro;0,0
Total nacional;Balears, Illes;Viajes, turismo y ocio;Tasa de actividad;97,0
Total nacional;Balears, Illes;Viajes, turismo y ocio;Tasa de empleo;97,0
Total nacional;Balears, Illes;Viajes, turismo y ocio;Tasa de paro;0,0
Total nacional;Balears, Illes;Servicios (Otros estudios);Tasa de actividad;0,0
Total nacional;Balears, Illes;Servicios (Otros estudios);Tasa de empleo;0,0
Total nacional;Balears, Illes;Servicios (Otros estudios);Tasa de paro;0,0
Total nacional;Canarias;TOTAL;Tasa de actividad;91,9
Total nacional;Canarias;TOTAL;Tasa de empleo;81,7
Total nacional;Canarias;TOTAL;Tasa de paro;11,1
Total nacional;Canarias;01 - EDUCACIÓN;Tasa de actividad;90,8
Total nacional;Canarias;01 - EDUCACIÓN;Tasa de empleo;72,3
Total nacional;Canarias;01 - EDUCACIÓN;Tasa de paro;20,3
Total nacional;Canarias;Formación de docentes de enseñanza infantil;Tasa de actividad;90,8
Total nacional;Canarias;Formación de docentes de enseñanza infantil;Tasa de empleo;76,2
Total nacional;Canarias;Formación de docentes de enseñanza infantil;Tasa de paro;16,1
Total nacional;Canarias;Formación de docentes de enseñanza primaria;Tasa de actividad;92,1
Total nacional;Canarias;Formación de docentes de enseñanza primaria;Tasa de empleo;72,5
Total nacional;Canarias;Formación de docentes de enseñanza primaria;Tasa de paro;21,3
Total nacional;Canarias;Educación (Otros estudios);Tasa de actividad;89,6
Total nacional;Canarias;Educación (Otros estudios);Tasa de empleo;70,3
Total nacional;Canarias;Educación (Otros estudios);Tasa de paro;21,6
Total nacional;Canarias;02 - ARTES Y HUMANIDADES;Tasa de actividad;87,3
Total nacional;Canarias;02 - ARTES Y HUMANIDADES;Tasa de empleo;70,0
Total nacional;Canarias;02 - ARTES Y HUMANIDADES;Tasa de paro;19,9
Total nacional;Canarias;Técnicas audiovisuales y medios de comunicación;Tasa de actividad;0,0
Total nacional;Canarias;Técnicas audiovisuales y medios de comunicación;Tasa de empleo;0,0
Total nacional;Canarias;Técnicas audiovisuales y medios de comunicación;Tasa de paro;0,0
Total nacional;Canarias;Artes (Otros estudios);Tasa de actividad;85,9
Total nacional;Canarias;Artes (Otros estudios);Tasa de empleo;69,5
Total nacional;Canarias;Artes (Otros estudios);Tasa de paro;19,0
Total nacional;Canarias;Humanidades;Tasa de actividad;80,2
Total nacional;Canarias;Humanidades;Tasa de empleo;59,5
Total nacional;Canarias;Humanidades;Tasa de paro;25,8
Total nacional;Canarias;Lenguas;Tasa de actividad;90,8
Total nacional;Canarias;Lenguas;Tasa de empleo;74,1
Total nacional;Canarias;Lenguas;Tasa de paro;18,3
Total nacional;Canarias;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de actividad;94,5
Total nacional;Canarias;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de empleo;83,3
Total nacional;Canarias;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de paro;11,9
Total nacional;Canarias;Economía;Tasa de actividad;88,9
Total nacional;Canarias;Economía;Tasa de empleo;83,6
Total nacional;Canarias;Economía;Tasa de paro;6,0
Total nacional;Canarias;Psicología;Tasa de actividad;97,8
Total nacional;Canarias;Psicología;Tasa de empleo;80,2
Total nacional;Canarias;Psicología;Tasa de paro;18,0
Total nacional;Canarias;Ciencias sociales y del comportamiento (Otros estudios);Tasa de actividad;91,0
Total nacional;Canarias;Ciencias sociales y del comportamiento (Otros estudios);Tasa de empleo;88,6
Total nacional;Canarias;Ciencias sociales y del comportamiento (Otros estudios);Tasa de paro;2,6
Total nacional;Canarias;Periodismo y documentación;Tasa de actividad;93,6
Total nacional;Canarias;Periodismo y documentación;Tasa de empleo;90,4
Total nacional;Canarias;Periodismo y documentación;Tasa de paro;3,4
Total nacional;Canarias;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de actividad;91,1
Total nacional;Canarias;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de empleo;83,7
Total nacional;Canarias;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de paro;8,1
Total nacional;Canarias;Dirección y administración;Tasa de actividad;97,5
Total nacional;Canarias;Dirección y administración;Tasa de empleo;90,9
Total nacional;Canarias;Dirección y administración;Tasa de paro;6,8
Total nacional;Canarias;Negocios y administración (Otros estudios);Tasa de actividad;90,3
Total nacional;Canarias;Negocios y administración (Otros estudios);Tasa de empleo;85,6
Total nacional;Canarias;Negocios y administración (Otros estudios);Tasa de paro;5,2
Total nacional;Canarias;Derecho;Tasa de actividad;82,2
Total nacional;Canarias;Derecho;Tasa de empleo;73,3
Total nacional;Canarias;Derecho;Tasa de paro;10,8
Total nacional;Canarias;05 - CIENCIAS;Tasa de actividad;91,8
Total nacional;Canarias;05 - CIENCIAS;Tasa de empleo;81,9
Total nacional;Canarias;05 - CIENCIAS;Tasa de paro;10,8
Total nacional;Canarias;Ciencias de la vida;Tasa de actividad;91,5
Total nacional;Canarias;Ciencias de la vida;Tasa de empleo;83,0
Total nacional;Canarias;Ciencias de la vida;Tasa de paro;9,3
Total nacional;Canarias;Medio ambiente;Tasa de actividad;0,0
Total nacional;Canarias;Medio ambiente;Tasa de empleo;0,0
Total nacional;Canarias;Medio ambiente;Tasa de paro;0,0
Total nacional;Canarias;Ciencias químicas, físicas y geológicas;Tasa de actividad;92,7
Total nacional;Canarias;Ciencias químicas, físicas y geológicas;Tasa de empleo;79,6
Total nacional;Canarias;Ciencias químicas, físicas y geológicas;Tasa de paro;14,2
Total nacional;Canarias;Matemáticas y estadística;Tasa de actividad;90,1
Total nacional;Canarias;Matemáticas y estadística;Tasa de empleo;85,2
Total nacional;Canarias;Matemáticas y estadística;Tasa de paro;5,4
Total nacional;Canarias;06 - INFORMÁTICA;Tasa de actividad;100,0
Total nacional;Canarias;06 - INFORMÁTICA;Tasa de empleo;95,8
Total nacional;Canarias;06 - INFORMÁTICA;Tasa de paro;4,2
Total nacional;Canarias;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de actividad;94,7
Total nacional;Canarias;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de empleo;88,8
Total nacional;Canarias;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de paro;6,2
Total nacional;Canarias;Ingeniería y profesiones afines;Tasa de actividad;96,2
Total nacional;Canarias;Ingeniería y profesiones afines;Tasa de empleo;92,9
Total nacional;Canarias;Ingeniería y profesiones afines;Tasa de paro;3,5
Total nacional;Canarias;Industria manufacturera y producción;Tasa de actividad;0,0
Total nacional;Canarias;Industria manufacturera y producción;Tasa de empleo;0,0
Total nacional;Canarias;Industria manufacturera y producción;Tasa de paro;0,0
Total nacional;Canarias;Arquitectura y construcción;Tasa de actividad;93,2
Total nacional;Canarias;Arquitectura y construcción;Tasa de empleo;84,8
Total nacional;Canarias;Arquitectura y construcción;Tasa de paro;8,9
Total nacional;Canarias;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Tasa de actividad;85,8
Total nacional;Canarias;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Tasa de empleo;79,4
Total nacional;Canarias;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Tasa de paro;7,4
Total nacional;Canarias;Agricultura y ganadería;Tasa de actividad;79,6
Total nacional;Canarias;Agricultura y ganadería;Tasa de empleo;70,7
Total nacional;Canarias;Agricultura y ganadería;Tasa de paro;11,1
Total nacional;Canarias;Silvicultura;Tasa de actividad;0,0
Total nacional;Canarias;Silvicultura;Tasa de empleo;0,0
Total nacional;Canarias;Silvicultura;Tasa de paro;0,0
Total nacional;Canarias;Veterinaria;Tasa de actividad;94,1
Total nacional;Canarias;Veterinaria;Tasa de empleo;91,0
Total nacional;Canarias;Veterinaria;Tasa de paro;3,2
Total nacional;Canarias;09 - SALUD Y SERVICIOS SOCIALES;Tasa de actividad;92,7
Total nacional;Canarias;09 - SALUD Y SERVICIOS SOCIALES;Tasa de empleo;89,7
Total nacional;Canarias;09 - SALUD Y SERVICIOS SOCIALES;Tasa de paro;3,2
Total nacional;Canarias;Medicina;Tasa de actividad;91,6
Total nacional;Canarias;Medicina;Tasa de empleo;91,6
Total nacional;Canarias;Medicina;Tasa de paro;0,0
Total nacional;Canarias;Enfermería;Tasa de actividad;93,7
Total nacional;Canarias;Enfermería;Tasa de empleo;93,7
Total nacional;Canarias;Enfermería;Tasa de paro;0,0
Total nacional;Canarias;Salud (Otros estudios);Tasa de actividad;88,8
Total nacional;Canarias;Salud (Otros estudios);Tasa de empleo;79,4
Total nacional;Canarias;Salud (Otros estudios);Tasa de paro;10,6
Total nacional;Canarias;Servicios sociales;Tasa de actividad;97,7
Total nacional;Canarias;Servicios sociales;Tasa de empleo;93,1
Total nacional;Canarias;Servicios sociales;Tasa de paro;4,7
Total nacional;Canarias;10 - SERVICIOS;Tasa de actividad;93,3
Total nacional;Canarias;10 - SERVICIOS;Tasa de empleo;80,3
Total nacional;Canarias;10 - SERVICIOS;Tasa de paro;13,8
Total nacional;Canarias;Actividades físicas y deportivas;Tasa de actividad;100,0
Total nacional;Canarias;Actividades físicas y deportivas;Tasa de empleo;90,4
Total nacional;Canarias;Actividades físicas y deportivas;Tasa de paro;9,6
Total nacional;Canarias;Viajes, turismo y ocio;Tasa de actividad;89,6
Total nacional;Canarias;Viajes, turismo y ocio;Tasa de empleo;71,5
Total nacional;Canarias;Viajes, turismo y ocio;Tasa de paro;20,2
Total nacional;Canarias;Servicios (Otros estudios);Tasa de actividad;95,3
Total nacional;Canarias;Servicios (Otros estudios);Tasa de empleo;90,7
Total nacional;Canarias;Servicios (Otros estudios);Tasa de paro;4,9
Total nacional;Cantabria;TOTAL;Tasa de actividad;92,5
Total nacional;Cantabria;TOTAL;Tasa de empleo;85,1
Total nacional;Cantabria;TOTAL;Tasa de paro;8,0
Total nacional;Cantabria;01 - EDUCACIÓN;Tasa de actividad;88,7
Total nacional;Cantabria;01 - EDUCACIÓN;Tasa de empleo;70,0
Total nacional;Cantabria;01 - EDUCACIÓN;Tasa de paro;21,0
Total nacional;Cantabria;Formación de docentes de enseñanza infantil;Tasa de actividad;89,8
Total nacional;Cantabria;Formación de docentes de enseñanza infantil;Tasa de empleo;76,6
Total nacional;Cantabria;Formación de docentes de enseñanza infantil;Tasa de paro;14,7
Total nacional;Cantabria;Formación de docentes de enseñanza primaria;Tasa de actividad;93,9
Total nacional;Cantabria;Formación de docentes de enseñanza primaria;Tasa de empleo;66,4
Total nacional;Cantabria;Formación de docentes de enseñanza primaria;Tasa de paro;29,3
Total nacional;Cantabria;Educación (Otros estudios);Tasa de actividad;73,6
Total nacional;Cantabria;Educación (Otros estudios);Tasa de empleo;69,5
Total nacional;Cantabria;Educación (Otros estudios);Tasa de paro;5,6
Total nacional;Cantabria;02 - ARTES Y HUMANIDADES;Tasa de actividad;75,8
Total nacional;Cantabria;02 - ARTES Y HUMANIDADES;Tasa de empleo;50,7
Total nacional;Cantabria;02 - ARTES Y HUMANIDADES;Tasa de paro;33,1
Total nacional;Cantabria;Técnicas audiovisuales y medios de comunicación;Tasa de actividad;0,0
Total nacional;Cantabria;Técnicas audiovisuales y medios de comunicación;Tasa de empleo;0,0
Total nacional;Cantabria;Técnicas audiovisuales y medios de comunicación;Tasa de paro;0,0
Total nacional;Cantabria;Artes (Otros estudios);Tasa de actividad;0,0
Total nacional;Cantabria;Artes (Otros estudios);Tasa de empleo;0,0
Total nacional;Cantabria;Artes (Otros estudios);Tasa de paro;0,0
Total nacional;Cantabria;Humanidades;Tasa de actividad;75,8
Total nacional;Cantabria;Humanidades;Tasa de empleo;50,7
Total nacional;Cantabria;Humanidades;Tasa de paro;33,1
Total nacional;Cantabria;Lenguas;Tasa de actividad;0,0
Total nacional;Cantabria;Lenguas;Tasa de empleo;0,0
Total nacional;Cantabria;Lenguas;Tasa de paro;0,0
Total nacional;Cantabria;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de actividad;89,8
Total nacional;Cantabria;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de empleo;82,8
Total nacional;Cantabria;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de paro;7,8
Total nacional;Cantabria;Economía;Tasa de actividad;88,4
Total nacional;Cantabria;Economía;Tasa de empleo;80,4
Total nacional;Cantabria;Economía;Tasa de paro;9,1
Total nacional;Cantabria;Psicología;Tasa de actividad;0,0
Total nacional;Cantabria;Psicología;Tasa de empleo;0,0
Total nacional;Cantabria;Psicología;Tasa de paro;0,0
Total nacional;Cantabria;Ciencias sociales y del comportamiento (Otros estudios);Tasa de actividad;100,0
Total nacional;Cantabria;Ciencias sociales y del comportamiento (Otros estudios);Tasa de empleo;100,0
Total nacional;Cantabria;Ciencias sociales y del comportamiento (Otros estudios);Tasa de paro;0,0
Total nacional;Cantabria;Periodismo y documentación;Tasa de actividad;0,0
Total nacional;Cantabria;Periodismo y documentación;Tasa de empleo;0,0
Total nacional;Cantabria;Periodismo y documentación;Tasa de paro;0,0
Total nacional;Cantabria;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de actividad;90,7
Total nacional;Cantabria;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de empleo;85,1
Total nacional;Cantabria;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de paro;6,1
Total nacional;Cantabria;Dirección y administración;Tasa de actividad;91,7
Total nacional;Cantabria;Dirección y administración;Tasa de empleo;90,1
Total nacional;Cantabria;Dirección y administración;Tasa de paro;1,7
Total nacional;Cantabria;Negocios y administración (Otros estudios);Tasa de actividad;0,0
Total nacional;Cantabria;Negocios y administración (Otros estudios);Tasa de empleo;0,0
Total nacional;Cantabria;Negocios y administración (Otros estudios);Tasa de paro;0,0
Total nacional;Cantabria;Derecho;Tasa de actividad;88,6
Total nacional;Cantabria;Derecho;Tasa de empleo;75,1
Total nacional;Cantabria;Derecho;Tasa de paro;15,3
Total nacional;Cantabria;05 - CIENCIAS;Tasa de actividad;96,4
Total nacional;Cantabria;05 - CIENCIAS;Tasa de empleo;85,3
Total nacional;Cantabria;05 - CIENCIAS;Tasa de paro;11,6
Total nacional;Cantabria;Ciencias de la vida;Tasa de actividad;0,0
Total nacional;Cantabria;Ciencias de la vida;Tasa de empleo;0,0
Total nacional;Cantabria;Ciencias de la vida;Tasa de paro;0,0
Total nacional;Cantabria;Medio ambiente;Tasa de actividad;0,0
Total nacional;Cantabria;Medio ambiente;Tasa de empleo;0,0
Total nacional;Cantabria;Medio ambiente;Tasa de paro;0,0
Total nacional;Cantabria;Ciencias químicas, físicas y geológicas;Tasa de actividad;100,0
Total nacional;Cantabria;Ciencias químicas, físicas y geológicas;Tasa de empleo;93,6
Total nacional;Cantabria;Ciencias químicas, físicas y geológicas;Tasa de paro;6,4
Total nacional;Cantabria;Matemáticas y estadística;Tasa de actividad;89,9
Total nacional;Cantabria;Matemáticas y estadística;Tasa de empleo;70,0
Total nacional;Cantabria;Matemáticas y estadística;Tasa de paro;22,1
Total nacional;Cantabria;06 - INFORMÁTICA;Tasa de actividad;100,0
Total nacional;Cantabria;06 - INFORMÁTICA;Tasa de empleo;100,0
Total nacional;Cantabria;06 - INFORMÁTICA;Tasa de paro;0,0
Total nacional;Cantabria;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de actividad;92,7
Total nacional;Cantabria;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de empleo;88,0
Total nacional;Cantabria;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de paro;5,0
Total nacional;Cantabria;Ingeniería y profesiones afines;Tasa de actividad;96,7
Total nacional;Cantabria;Ingeniería y profesiones afines;Tasa de empleo;91,8
Total nacional;Cantabria;Ingeniería y profesiones afines;Tasa de paro;5,1
Total nacional;Cantabria;Industria manufacturera y producción;Tasa de actividad;89,7
Total nacional;Cantabria;Industria manufacturera y producción;Tasa de empleo;81,7
Total nacional;Cantabria;Industria manufacturera y producción;Tasa de paro;8,9
Total nacional;Cantabria;Arquitectura y construcción;Tasa de actividad;89,8
Total nacional;Cantabria;Arquitectura y construcción;Tasa de empleo;85,7
Total nacional;Cantabria;Arquitectura y construcción;Tasa de paro;4,6
Total nacional;Cantabria;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Tasa de actividad;0,0
Total nacional;Cantabria;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Tasa de empleo;0,0
Total nacional;Cantabria;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Tasa de paro;0,0
Total nacional;Cantabria;Agricultura y ganadería;Tasa de actividad;0,0
Total nacional;Cantabria;Agricultura y ganadería;Tasa de empleo;0,0
Total nacional;Cantabria;Agricultura y ganadería;Tasa de paro;0,0
Total nacional;Cantabria;Silvicultura;Tasa de actividad;0,0
Total nacional;Cantabria;Silvicultura;Tasa de empleo;0,0
Total nacional;Cantabria;Silvicultura;Tasa de paro;0,0
Total nacional;Cantabria;Veterinaria;Tasa de actividad;0,0
Total nacional;Cantabria;Veterinaria;Tasa de empleo;0,0
Total nacional;Cantabria;Veterinaria;Tasa de paro;0,0
Total nacional;Cantabria;09 - SALUD Y SERVICIOS SOCIALES;Tasa de actividad;100,0
Total nacional;Cantabria;09 - SALUD Y SERVICIOS SOCIALES;Tasa de empleo;93,9
Total nacional;Cantabria;09 - SALUD Y SERVICIOS SOCIALES;Tasa de paro;6,1
Total nacional;Cantabria;Medicina;Tasa de actividad;100,0
Total nacional;Cantabria;Medicina;Tasa de empleo;95,1
Total nacional;Cantabria;Medicina;Tasa de paro;4,9
Total nacional;Cantabria;Enfermería;Tasa de actividad;100,0
Total nacional;Cantabria;Enfermería;Tasa de empleo;97,2
Total nacional;Cantabria;Enfermería;Tasa de paro;2,8
Total nacional;Cantabria;Salud (Otros estudios);Tasa de actividad;100,0
Total nacional;Cantabria;Salud (Otros estudios);Tasa de empleo;89,1
Total nacional;Cantabria;Salud (Otros estudios);Tasa de paro;10,9
Total nacional;Cantabria;Servicios sociales;Tasa de actividad;0,0
Total nacional;Cantabria;Servicios sociales;Tasa de empleo;0,0
Total nacional;Cantabria;Servicios sociales;Tasa de paro;0,0
Total nacional;Cantabria;10 - SERVICIOS;Tasa de actividad;92,9
Total nacional;Cantabria;10 - SERVICIOS;Tasa de empleo;92,9
Total nacional;Cantabria;10 - SERVICIOS;Tasa de paro;0,0
Total nacional;Cantabria;Actividades físicas y deportivas;Tasa de actividad;0,0
Total nacional;Cantabria;Actividades físicas y deportivas;Tasa de empleo;0,0
Total nacional;Cantabria;Actividades físicas y deportivas;Tasa de paro;0,0
Total nacional;Cantabria;Viajes, turismo y ocio;Tasa de actividad;100,0
Total nacional;Cantabria;Viajes, turismo y ocio;Tasa de empleo;100,0
Total nacional;Cantabria;Viajes, turismo y ocio;Tasa de paro;0,0
Total nacional;Cantabria;Servicios (Otros estudios);Tasa de actividad;87,7
Total nacional;Cantabria;Servicios (Otros estudios);Tasa de empleo;87,7
Total nacional;Cantabria;Servicios (Otros estudios);Tasa de paro;0,0
Total nacional;Castilla y León;TOTAL;Tasa de actividad;94,6
Total nacional;Castilla y León;TOTAL;Tasa de empleo;87,9
Total nacional;Castilla y León;TOTAL;Tasa de paro;7,1
Total nacional;Castilla y León;01 - EDUCACIÓN;Tasa de actividad;94,6
Total nacional;Castilla y León;01 - EDUCACIÓN;Tasa de empleo;86,1
Total nacional;Castilla y León;01 - EDUCACIÓN;Tasa de paro;9,0
Total nacional;Castilla y León;Formación de docentes de enseñanza infantil;Tasa de actividad;91,9
Total nacional;Castilla y León;Formación de docentes de enseñanza infantil;Tasa de empleo;81,8
Total nacional;Castilla y León;Formación de docentes de enseñanza infantil;Tasa de paro;11,0
Total nacional;Castilla y León;Formación de docentes de enseñanza primaria;Tasa de actividad;95,2
Total nacional;Castilla y León;Formación de docentes de enseñanza primaria;Tasa de empleo;87,9
Total nacional;Castilla y León;Formación de docentes de enseñanza primaria;Tasa de paro;7,7
Total nacional;Castilla y León;Educación (Otros estudios);Tasa de actividad;98,8
Total nacional;Castilla y León;Educación (Otros estudios);Tasa de empleo;87,9
Total nacional;Castilla y León;Educación (Otros estudios);Tasa de paro;11,0
Total nacional;Castilla y León;02 - ARTES Y HUMANIDADES;Tasa de actividad;88,9
Total nacional;Castilla y León;02 - ARTES Y HUMANIDADES;Tasa de empleo;69,9
Total nacional;Castilla y León;02 - ARTES Y HUMANIDADES;Tasa de paro;21,4
Total nacional;Castilla y León;Técnicas audiovisuales y medios de comunicación;Tasa de actividad;94,7
Total nacional;Castilla y León;Técnicas audiovisuales y medios de comunicación;Tasa de empleo;90,0
Total nacional;Castilla y León;Técnicas audiovisuales y medios de comunicación;Tasa de paro;5,0
Total nacional;Castilla y León;Artes (Otros estudios);Tasa de actividad;84,0
Total nacional;Castilla y León;Artes (Otros estudios);Tasa de empleo;62,6
Total nacional;Castilla y León;Artes (Otros estudios);Tasa de paro;25,5
Total nacional;Castilla y León;Humanidades;Tasa de actividad;81,2
Total nacional;Castilla y León;Humanidades;Tasa de empleo;58,7
Total nacional;Castilla y León;Humanidades;Tasa de paro;27,8
Total nacional;Castilla y León;Lenguas;Tasa de actividad;94,0
Total nacional;Castilla y León;Lenguas;Tasa de empleo;73,4
Total nacional;Castilla y León;Lenguas;Tasa de paro;21,9
Total nacional;Castilla y León;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de actividad;94,1
Total nacional;Castilla y León;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de empleo;87,5
Total nacional;Castilla y León;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Tasa de paro;7,0
Total nacional;Castilla y León;Economía;Tasa de actividad;91,2
Total nacional;Castilla y León;Economía;Tasa de empleo;89,4
Total nacional;Castilla y León;Economía;Tasa de paro;1,9
Total nacional;Castilla y León;Psicología;Tasa de actividad;96,1
Total nacional;Castilla y León;Psicología;Tasa de empleo;87,4
Total nacional;Castilla y León;Psicología;Tasa de paro;9,1
Total nacional;Castilla y León;Ciencias sociales y del comportamiento (Otros estudios);Tasa de actividad;86,3
Total nacional;Castilla y León;Ciencias sociales y del comportamiento (Otros estudios);Tasa de empleo;80,7
Total nacional;Castilla y León;Ciencias sociales y del comportamiento (Otros estudios);Tasa de paro;6,5
Total nacional;Castilla y León;Periodismo y documentación;Tasa de actividad;96,6
Total nacional;Castilla y León;Periodismo y documentación;Tasa de empleo;89,0
Total nacional;Castilla y León;Periodismo y documentación;Tasa de paro;7,8
Total nacional;Castilla y León;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de actividad;90,2
Total nacional;Castilla y León;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de empleo;83,6
Total nacional;Castilla y León;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Tasa de paro;7,3
Total nacional;Castilla y León;Dirección y administración;Tasa de actividad;93,3
Total nacional;Castilla y León;Dirección y administración;Tasa de empleo;86,6
Total nacional;Castilla y León;Dirección y administración;Tasa de paro;7,2
Total nacional;Castilla y León;Negocios y administración (Otros estudios);Tasa de actividad;91,0
Total nacional;Castilla y León;Negocios y administración (Otros estudios);Tasa de empleo;80,8
Total nacional;Castilla y León;Negocios y administración (Otros estudios);Tasa de paro;11,2
Total nacional;Castilla y León;Derecho;Tasa de actividad;82,7
Total nacional;Castilla y León;Derecho;Tasa de empleo;78,7
Total nacional;Castilla y León;Derecho;Tasa de paro;4,9
Total nacional;Castilla y León;05 - CIENCIAS;Tasa de actividad;91,1
Total nacional;Castilla y León;05 - CIENCIAS;Tasa de empleo;84,0
Total nacional;Castilla y León;05 - CIENCIAS;Tasa de paro;7,8
Total nacional;Castilla y León;Ciencias de la vida;Tasa de actividad;88,8
Total nacional;Castilla y León;Ciencias de la vida;Tasa de empleo;83,5
Total nacional;Castilla y León;Ciencias de la vida;Tasa de paro;6,0
Total nacional;Castilla y León;Medio ambiente;Tasa de actividad;94,0
Total nacional;Castilla y León;Medio ambiente;Tasa de empleo;86,0
Total nacional;Castilla y León;Medio ambiente;Tasa de paro;8,5
Total nacional;Castilla y León;Ciencias químicas, físicas y geológicas;Tasa de actividad;92,4
Total nacional;Castilla y León;Ciencias químicas, físicas y geológicas;Tasa de empleo;82,9
Total nacional;Castilla y León;Ciencias químicas, físicas y geológicas;Tasa de paro;10,2
Total nacional;Castilla y León;Matemáticas y estadística;Tasa de actividad;92,6
Total nacional;Castilla y León;Matemáticas y estadística;Tasa de empleo;87,0
Total nacional;Castilla y León;Matemáticas y estadística;Tasa de paro;6,0
Total nacional;Castilla y León;06 - INFORMÁTICA;Tasa de actividad;100,0
Total nacional;Castilla y León;06 - INFORMÁTICA;Tasa de empleo;97,9
Total nacional;Castilla y León;06 - INFORMÁTICA;Tasa de paro;2,1
Total nacional;Castilla y León;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de actividad;97,3
Total nacional;Castilla y León;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de empleo;92,9
Total nacional;Castilla y León;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Tasa de paro;4,5
Total nacional;Castilla y León;Ingeniería y profesiones afines;Tasa de actividad;98,1
Total nacional;Castilla y León;Ingeniería y profesiones afines;Tasa de empleo;96,0
Total nacional;Castilla y León;Ingeniería y profesiones afines;Tasa de paro;2,2
Total nacional;Castilla y León;Industria manufacturera y producción;Tasa de actividad;92,4
Total nacional;Castilla y León;Industria manufacturera y producción;Tasa de empleo;83,1
Total nacional;Castilla y León;Industria manufacturera y producción;Tasa de paro;10,1
Total nacional;Castilla y León;Arquitectura y construcción;Tasa de actividad;96,6
Total nacional;Castilla y León;Arquitectura y construcción;Tasa de empleo;89,1
Total nacional;Castilla y León;Arquitectura y construcción;Tasa de paro;7,7
